RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            8     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.322D-02  2.541D-02
    1    2     1     0  ---    0  1.0D+00  3.1D-02  2.604D-02  2.436D-02
    2    7     1     0  ---    4  6.1D+00  2.2D-01  5.536D-02  1.534D-02
    3   10     1     0  con    2  1.1D-01  3.6D-02  8.623D-02  1.471D-02
    4   12     1     0  con    1  5.4D-01  8.9D-02  1.450D-01  1.045D-02
    5   14     1     0  con    1  2.4D-01  5.1D-02  1.511D-01  8.257D-03
    6   15     1     0  con    0  1.0D+00  6.2D-02  3.369D-02  3.136D-03
    7   16     1     0  con    0  1.0D+00  3.1D-02  2.337D-02  2.501D-03
    8   17     1     0  con    0  1.0D+00  2.3D-02  6.668D-03  2.154D-03
    9   18     1     0  con    0  1.0D+00  1.4D-02  1.845D-03  2.097D-03
   10   19     1     0  con    0  1.0D+00  9.6D-03  1.781D-03  2.073D-03
   11   20     1     0  con    0  1.0D+00  2.9D-02  3.225D-03  2.021D-03
   12   21     1     0  con    0  1.0D+00  5.7D-02  5.890D-03  1.936D-03
   13   22     1     0  con    0  1.0D+00  1.3D-01  8.213D-03  1.771D-03
   14   23     1     0  con    0  1.0D+00  2.0D-01  7.991D-03  1.537D-03
   15   25     1     0  con    1  3.1D-01  1.9D-01  4.236D-03  1.278D-03
   16   28     1     0  con    2  8.4D-02  8.2D-02  4.302D-03  1.198D-03
   17   29     1     0  con    0  1.0D+00  3.9D-02  3.825D-03  1.125D-03
   18   30     1     0  con    0  1.0D+00  1.1D-01  1.849D-02  1.058D-03
   19   31     1     0  con    0  1.0D+00  4.3D-02  1.019D-02  1.038D-03
   20   32     1     0  con    0  1.0D+00  5.0D-02  2.096D-03  9.810D-04
   21   33     1     0  con    0  1.0D+00  5.5D-02  5.502D-03  9.385D-04
   22   34     1     0  con    0  1.0D+00  1.0D-01  1.050D-02  8.579D-04
   23   35     1     0  con    0  1.0D+00  1.8D-01  8.928D-03  7.182D-04
   24   36     1     0  con    0  1.0D+00  2.8D-01  2.357D-03  5.616D-04
   25   38     1     0  con    1  4.2D-01  1.6D-01  3.495D-03  5.235D-04
   26   39     1     0  con    0  1.0D+00  3.8D-01  1.769D-02  4.869D-04
   27   40     1     0  con    0  1.0D+00  6.3D-02  7.834D-03  4.482D-04
   28   41     1     0  con    0  1.0D+00  1.2D-02  3.890D-03  4.338D-04
   29   42     1     0  con    0  1.0D+00  1.4D-01  2.403D-03  4.011D-04
   30   43     1     0  con    0  1.0D+00  2.2D-01  3.404D-03  3.637D-04
   31   45     1     0  bnd    1  3.9D-01  1.5D-01  4.144D-03  3.359D-04
   32   46     1     0  bnd    0  1.0D+00  1.3D-01  2.716D-03  3.054D-04
   33   47     1     1  con    0  1.0D+00  9.2D-02  9.299D-03  2.587D-04
   34   48     1     1  con    0  1.0D+00  2.6D-02  1.014D-02  2.250D-04
   35   50     1     1  con    1  4.8D-01  4.5D-02  8.101D-03  1.621D-04
   36   52     1     0  bnd    1  1.0D-01  6.3D-02  3.629D-03  1.476D-04
   37   53     1     1  con    0  1.0D+00  5.8D-02  2.592D-03  1.177D-04
   38   54     1     1  con    0  1.0D+00  4.5D-02  1.140D-03  1.035D-04
   39   55     1     1  con    0  1.0D+00  9.9D-02  8.164D-04  9.849D-05
   40   56     1     1  con    0  1.0D+00  3.4D-02  2.239D-03  9.500D-05
   41   57     1     1  con    0  1.0D+00  7.6D-03  1.612D-03  9.406D-05
   42   58     1     1  con    0  1.0D+00  9.5D-02  5.395D-04  8.831D-05
   43   59     1     0  con    0  1.0D+00  1.8D-01  4.980D-04  8.000D-05
   44   61     1     0  con    1  5.2D-01  2.7D-01  2.464D-03  7.111D-05
   45   62     1     0  con    0  1.0D+00  7.0D-02  5.475D-04  6.896D-05
   46   63     1     0  con    0  1.0D+00  6.8D-02  1.054D-03  6.808D-05
   47   64     1     0  con    0  1.0D+00  2.0D-02  5.473D-04  6.778D-05
   48   65     1     0  con    0  1.0D+00  7.1D-02  2.253D-04  6.745D-05
   49   66     1     0  con    0  1.0D+00  8.2D-03  1.045D-04  6.737D-05
   50   67     1     0  con    0  1.0D+00  9.8D-03  1.103D-04  6.732D-05
   51   68     1     0  con    0  1.0D+00  3.7D-02  4.044D-04  6.705D-05
   52   69     1     0  con    0  1.0D+00  6.2D-02  7.120D-04  6.650D-05
   53   70     1     0  con    0  1.0D+00  1.4D-01  9.331D-04  6.494D-05
   54   71     1     0  con    0  1.0D+00  3.2D-01  6.638D-04  6.106D-05
   55   72     1     0  con    0  1.0D+00  5.9D-01  1.140D-03  5.634D-05
   56   74     1     0  con    1  2.7D-01  4.1D-02  1.343D-03  5.423D-05
   57   75     1     0  con    0  1.0D+00  7.1D-02  1.659D-03  5.254D-05
   58   76     1     0  con    0  1.0D+00  1.3D-02  1.480D-04  5.148D-05
   59   77     1     0  con    0  1.0D+00  1.5D-01  1.361D-03  4.884D-05
   60   78     1     0  con    0  1.0D+00  2.5D-01  7.719D-04  4.626D-05
   61   79     1     0  con    0  1.0D+00  5.9D-02  4.015D-04  4.543D-05
   62   80     1     0  con    0  1.0D+00  3.6D-02  3.159D-04  4.519D-05
   63   81     1     0  con    0  1.0D+00  2.2D-02  5.351D-05  4.505D-05
   64   82     1     0  con    0  1.0D+00  3.4D-02  2.542D-05  4.502D-05
   65   83     1     0  con    0  1.0D+00  1.4D-02  1.800D-04  4.500D-05
   66   84     1     0  con    0  1.0D+00  7.2D-03  1.253D-04  4.499D-05
   67   85     1     0  con    0  1.0D+00  9.3D-03  2.545D-05  4.498D-05
   68   86     1     0  con    0  1.0D+00  2.6D-03  6.118D-05  4.497D-05
   69   87     1     0  con    0  1.0D+00  3.1D-03  1.402D-04  4.496D-05
   70   88     1     0  con    0  1.0D+00  4.8D-03  2.603D-04  4.494D-05
   71   89     1     0  con    0  1.0D+00  9.1D-03  4.565D-04  4.489D-05
   72   90     1     0  con    0  1.0D+00  1.6D-02  7.387D-04  4.476D-05
   73   91     1     0  con    0  1.0D+00  3.0D-02  1.147D-03  4.445D-05
   74   92     1     0  con    0  1.0D+00  5.2D-02  1.554D-03  4.387D-05
   75   93     1     0  con    0  1.0D+00  7.0D-02  1.676D-03  4.300D-05
   76   95     1     0  con    1  1.1D-01  4.2D-02  1.903D-03  4.288D-05
   77   96     1     0  con    0  1.0D+00  1.0D-01  8.729D-04  4.139D-05
   78   97     1     0  con    0  1.0D+00  2.7D-02  2.943D-04  4.079D-05
   79   98     1     0  con    0  1.0D+00  4.0D-02  1.361D-04  4.062D-05
   80   99     1     0  con    0  1.0D+00  1.7D-02  9.699D-04  4.043D-05
   81  101     1     0  con    1  5.0D+00  4.4D-02  6.313D-04  3.972D-05
   82  102     1     0  con    0  1.0D+00  1.6D-01  5.710D-04  3.746D-05
   83  103     1     0  con    0  1.0D+00  1.5D-01  1.021D-03  3.593D-05
   84  104     1     0  con    0  1.0D+00  7.8D-02  3.170D-04  3.521D-05
   85  106     1     0  con    1  4.0D-01  5.3D-02  5.674D-04  3.467D-05
   86  107     1     0  con    0  1.0D+00  1.5D-02  3.963D-04  3.445D-05
   87  108     1     0  con    0  1.0D+00  2.2D-02  5.658D-05  3.429D-05
   88  109     1     0  con    0  1.0D+00  4.0D-02  7.792D-05  3.424D-05
   89  110     1     0  con    0  1.0D+00  1.0D-02  2.012D-04  3.419D-05
   90  111     1     0  con    0  1.0D+00  9.3D-03  2.774D-04  3.414D-05
   91  112     1     0  con    0  1.0D+00  2.8D-02  1.507D-04  3.407D-05
   92  113     1     0  con    0  1.0D+00  1.5D-02  1.592D-04  3.402D-05
   93  115     1     0  con    1  5.3D-02  2.3D-02  1.229D-04  3.398D-05
   94  116     1     0  con    0  1.0D+00  2.3D-02  8.286D-05  3.392D-05
   95  117     1     0  con    0  1.0D+00  2.1D-02  1.240D-05  3.388D-05
   96  118     1     0  con    0  1.0D+00  2.9D-03  1.687D-05  3.388D-05
   97  119     1     0  con    0  1.0D+00  2.7D-03  1.369D-05  3.387D-05
   98  120     1     0  con    0  1.0D+00  3.3D-03  2.926D-05  3.387D-05
   99  121     1     0  con    0  1.0D+00  5.0D-03  6.220D-05  3.386D-05
  100  122     1     0  con    0  1.0D+00  5.3D-03  6.891D-05  3.384D-05
  101  124     1     0  con    1  1.3D-01  1.1D-02  2.290D-04  3.384D-05
  102  125     1     0  con    0  1.0D+00  8.1D-03  2.111D-04  3.379D-05
  103  126     1     0  con    0  1.0D+00  2.6D-02  1.618D-04  3.364D-05
  104  127     1     0  con    0  1.0D+00  4.6D-02  2.810D-04  3.335D-05
  105  129     1     0  con    1  1.5D-01  7.6D-02  2.633D-04  3.324D-05
  106  130     1     0  con    0  1.0D+00  6.4D-02  8.590D-05  3.285D-05
  107  131     1     0  con    0  1.0D+00  5.0D-02  6.930D-05  3.264D-05
  108  133     1     0  con    1  3.8D-01  7.3D-02  3.235D-04  3.230D-05
  109  134     1     0  con    0  1.0D+00  6.4D-02  2.694D-04  3.203D-05
  110  136     1     0  con    1  4.7D-01  5.0D-02  7.647D-04  3.185D-05
  111  137     1     0  con    0  1.0D+00  1.7D-02  2.189D-04  3.170D-05
  112  138     1     0  con    0  1.0D+00  7.7D-02  1.850D-04  3.138D-05
  113  140     1     0  con    1  2.3D-01  1.1D-01  1.229D-04  3.102D-05
  114  142     1     0  con    1  5.0D-01  1.2D-01  2.863D-04  3.061D-05
  115  143     1     0  con    0  1.0D+00  1.7D-01  1.144D-03  2.966D-05
  116  144     1     0  con    0  1.0D+00  1.6D-01  6.865D-04  2.876D-05
  117  146     1     0  con    1  4.5D-01  1.7D-01  6.812D-05  2.793D-05
  118  147     1     0  con    0  1.0D+00  3.0D-02  2.570D-04  2.788D-05
  119  148     1     0  con    0  1.0D+00  1.4D-02  1.035D-04  2.784D-05
  120  149     1     0  con    0  1.0D+00  1.2D-02  6.304D-05  2.779D-05
  121  150     1     0  con    0  1.0D+00  8.9D-02  4.000D-04  2.761D-05
  122  151     1     0  con    0  1.0D+00  1.2D-01  4.329D-04  2.742D-05
  123  153     1     0  con    1  9.7D-02  2.8D-02  2.507D-04  2.736D-05
  124  154     1     0  con    0  1.0D+00  1.6D-01  1.545D-04  2.720D-05
  125  155     1     0  con    0  1.0D+00  3.1D-02  1.212D-04  2.712D-05
  126  156     1     0  con    0  1.0D+00  3.5D-02  2.517D-05  2.710D-05
  127  157     1     0  con    0  1.0D+00  7.9D-03  2.064D-05  2.709D-05
  128  158     1     0  con    0  1.0D+00  1.4D-02  5.260D-05  2.708D-05
  129  159     1     0  con    0  1.0D+00  1.1D-01  4.037D-05  2.707D-05
  130  160     1     0  con    0  1.0D+00  5.3D-02  1.002D-04  2.706D-05
  131  161     1     0  con    0  1.0D+00  1.8D-02  6.389D-05  2.705D-05
  132  162     1     0  con    0  1.0D+00  1.3D-02  5.543D-06  2.705D-05
  133  163     1     0  con    0  1.0D+00  7.4D-03  7.919D-06  2.705D-05
  134  164     1     0  con    0  1.0D+00  9.0D-03  2.621D-05  2.705D-05
  135  165     1     0  con    0  1.0D+00  3.9D-02  7.083D-05  2.703D-05
  136  166     1     0  con    0  1.0D+00  1.7D-02  6.813D-05  2.702D-05
  137  168     1     0  con    1  1.5D-03  4.9D-03  8.795D-05  2.702D-05
  138  169     1     0  con    0  1.0D+00  3.4D-02  8.173D-05  2.700D-05
  139  171     1     0  con    1  5.2D-02  1.6D-03  9.976D-05  2.699D-05
  140  172     1     0  con    0  1.0D+00  1.5D-02  4.606D-05  2.698D-05
  141  173     1     0  con    0  1.0D+00  1.2D-02  9.410D-06  2.698D-05
  142  174     1     0  con    0  1.0D+00  1.1D-02  2.433D-06  2.698D-05
  143  176     1     0  con    1  1.4D-01  3.1D-03  1.164D-05  2.698D-05
  144  177     1     0  con    0  1.0D+00  5.1D-03  5.341D-06  2.698D-05
  145  178     1     0  con    0  1.0D+00  2.2D-03  6.755D-07  2.698D-05
  146  179     1     0  con    0  1.0D+00  4.8D-04  8.090D-07  2.698D-05
  147  180     1     0  con    0  1.0D+00  3.7D-04  1.317D-06  2.698D-05
  148  182     1     0  con    1  3.0D-01  1.3D-03  6.796D-06  2.698D-05
  149  183     1     0  con    0  1.0D+00  1.1D-03  3.979D-06  2.698D-05
  150  184     1     0  con    0  1.0D+00  1.3D-03  1.797D-06  2.698D-05
  151  185     1     0  con    0  1.0D+00  7.0D-04  2.760D-07  2.698D-05
  152  186     1     0  con    0  1.0D+00  8.9D-05  1.188D-07  2.698D-05
  153  187     1     0  con    0  1.0D+00  9.8D-05  7.900D-08  2.698D-05
  154  189     1     0  con    1  1.1D-01  8.9D-05  2.622D-07  2.698D-05
  155  190     1     0  con    0  1.0D+00  8.8D-05  1.505D-07  2.698D-05
  156  191     1     0  con    0  1.0D+00  2.4D-05  1.116D-07  2.698D-05
  157  192     1     0  con    0  1.0D+00  2.1D-05  4.826D-08  2.698D-05
  158  193     1     0  con    0  1.0D+00  2.3D-05  6.519D-08  2.698D-05
  159  194     1     0  con    0  1.0D+00  4.9D-05  2.637D-07  2.698D-05
  160  195     1     0  con    0  1.0D+00  2.1D-04  3.055D-07  2.698D-05
  161  196     1     0  con    0  1.0D+00  7.1D-05  4.466D-07  2.698D-05
  162  197     1     0  con    0  1.0D+00  4.6D-05  3.181D-07  2.698D-05
  163  198     1     0  con    0  1.0D+00  1.2D-04  4.765D-08  2.698D-05
  164  199     1     0  con    0  1.0D+00  2.0D-05  4.559D-08  2.698D-05
  165  201     1     0  con    1  2.3D-01  3.4D-05  1.299D-07  2.698D-05
  166  202     1     0  con    0  1.0D+00  1.7D-05  5.133D-08  2.698D-05
  167  203     1     0  con    0  1.0D+00  9.1D-06  2.050D-08  2.698D-05
  168  204     1     0  con    0  1.0D+00  1.0D-05  3.236D-09  2.698D-05
  169  205     1     0  con    0  1.0D+00  3.2D-06  7.463D-09  2.698D-05
  170  206     1     0  con    0  1.0D+00  2.3D-06  8.522D-09  2.698D-05
